"{'tlp': (1900, 2295), 'brp': (2261, 2000), 'border': 50, 'loc_back_radius': 50, 'max_radius': 30, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
15,247,201,16.73946582074018,0.04800111756915219,7,149,511106,103.6650158448722,51.26765293185431,27.539704892491468,20.311605477295895,3412.6015286097913,8.492569002123142
16,134,115,16.880928618660224,0.047953438647986193,6,113,387945,90.2772468172794,47.87444678280332,39.50047883264281,12.709254668767164,3412.8587375685,8.492569002123142
17,270,203,16.379478201053878,0.0416271230934817,8,197,675919,125.15883048831515,60.344651614018396,58.58262077620528,28.602932443057856,3412.576258992806,8.9171974522293
18,147,101,16.90079346276127,0.0512279393764749,6,113,387788,90.2772468172794,46.16584069032408,157.9092374172774,37.215040996623074,3412.89128454297,8.492569002123142
19,273,66,16.73518378710599,0.05317925939590781,6,113,388396,103.81883383987132,49.519877444516915,214.18901029291976,61.853791101167914,3415.4316967953987,9.766454352441613
20,131,132,16.970661498696693,0.057376347965934806,6,113,387682,94.79110915814337,45.034111207492536,118.45110719811181,43.056827450000235,3412.8666267942585,8.9171974522293
21,66,213,17.053770444727128,0.05678501842210053,6,113,387500,85.76338447641544,43.69749731199655,78.87409759323708,39.36462282601074,3412.305563970514,8.067940552016985
22,221,156,17.239985245305817,0.06185028618049597,6,113,387188,85.76338447641544,39.85371804565043,86.64679588165285,12.673740025542516,3412.3865589198035,8.067940552016985
23,237,166,17.295416685482433,0.07214809050709999,6,113,387068,90.2772468172794,38.76842576071085,88.60694805635163,39.15155772202429,3412.079727115365,8.492569002123142
24,279,210,16.882790199182168,0.06898351989607387,7,149,510638,108.84826663711581,46.37106152865414,177.19373355250517,88.71201512412988,3412.66929297118,8.9171974522293
25,139,201,17.207494862891156,0.06818688836707433,7,149,510137,98.48176505262859,40.81371628324994,60.086620879216696,19.580619073899364,3412.5586614976537,8.067940552016985
26,126,185,17.44514412626137,0.07580893066255352,6,113,386959,85.76338447641544,36.57173894210507,49.07966667079736,26.07892993421483,3412.579716024341,8.067940552016985
