"{'border': 100, 'loc_back_radius': 100, 'max_radius': 60, 'selection_std_multiplier': 4, 'growth_std_multiplier': 4}"
Name,Centre x,Centre y,Calibrated Magnitude,CM Error,Radius,Area,Total Uncorrected Flux Through Aperture,F Error form Bakcgorund Removal,F Number Counting Error,Aperture Cutoff Flux Correction,ACFC Error,Background Flux Mean,Background Flux Std
17,365,1013,10.983574387443225,0.0015450391450673971,12,441,2040764,205.09554140127386,729.9365584597349,0.016985840743955625,0.019549230437417336,3419.4027678547804,9.766454352441613
18,583,388,11.005944443893078,0.0017316403291572462,24,1793,6654863,413.54908982931886,722.455515886698,2.893789980181377e-26,8.705034729866536e-26,3420.4802161544258,9.766454352441613
19,855,1404,10.905672117562268,0.0016193172882756623,24,1793,6721171,395.5686946193485,756.5986751605169,2.8665194768982503e-23,7.317919419079703e-23,3429.296957470915,9.341825902335456
20,1677,112,11.183176395067445,0.001943291162226776,18,1009,3890448,431.62307055337146,665.8320879974597,2.1269021285741727e-13,4.620049552685396e-13,3416.3683157511823,13.588110403397028
21,684,2869,10.904045029870542,0.0015645377739662185,21,1373,5265957,330.4179648294072,757.1658081880876,2.4959562897324996e-13,3.999087559797454e-13,3417.8127741521344,8.9171974522293
22,1011,4110,10.843964005488079,0.0015795584724347714,25,1961,7325723,413.68575470119714,778.4078354744782,1.6358218100225664e-18,3.3943708810305677e-18,3426.7232236980813,9.341825902335456
23,2459,1395,11.418972565783612,0.0022005346490428317,16,797,3080346,407.58403673780515,597.3178412324011,1.7984560408049525e-11,4.019390980355911e-11,3417.2614762176463,14.437367303609342
24,668,2254,11.235164120781533,0.0018082485998796196,18,1009,3873614,269.76441909585714,650.080555129443,1.4765718724707404e-10,2.602271319797638e-10,3420.2272268013826,8.492569002123142
25,1414,2829,10.01407703277929,0.0010693656538295715,37,4293,15975338,584.263596209774,1140.7345447537446,5.1184030363420506e-23,2.2105710610860894e-22,3418.1371298405465,8.9171974522293
26,1001,2922,11.253394405803945,0.001949892898841259,25,1961,7116938,376.0779588192701,644.6457426266333,2.7496949802191186e-24,6.668530575314182e-24,3417.3227264219054,8.492569002123142
27,1931,2957,11.323926339763723,0.0019317725731614324,20,1257,4680496,301.09720426727534,624.0433104475666,3.548488600890629e-15,6.726982438390863e-15,3413.7358366631997,8.492569002123142
28,1284,2276,11.387078916476707,0.002163566835893105,26,2121,7618245,410.6754271474455,606.1557325040785,1.3191135015676295e-30,4.122439855302834e-30,3418.585680317041,8.9171974522293
29,374,1028,11.44055040616534,0.0021522607456762126,21,1373,5044692,361.8863424322079,591.4117092178057,4.4338135017278995e-18,1.0992179207017831e-17,3419.46408608891,9.766454352441613
30,234,2972,11.244495940682961,0.00214820183185293,23,1653,6065936,517.9248751657611,647.2928530374745,2.8209514269440423e-18,7.22087658867489e-18,3416.181465460742,12.738853503184714
31,2091,100,12.580988904214026,0.004612200697847425,15,709,2543268,384.4245575317264,349.78583575563516,4.8499358578459415e-22,2.8697933656706227e-21,3414.552706776773,14.437367303609342
32,391,2097,11.628279538998406,0.0024447400151937243,22,1517,5480127,380.3905462127051,542.4304887218497,3.179904875823997e-20,8.388655675027959e-20,3418.5208733717704,9.766454352441613
33,518,1070,11.680041180334172,0.002448854026568606,21,1373,4978260,346.15215363080756,529.6533993197344,2.3130005519450086e-17,5.02289134575644e-17,3421.505663939585,9.341825902335456
34,405,894,11.753204950886275,0.0022390337145409022,10,317,1346187,173.88677611023002,512.1038345986037,1.185981889100689,1.2100787103613877,3419.3585570643722,9.766454352441613
35,1868,3781,10.732911827171632,0.0015368849252741473,32,3209,11605064,481.08735586474893,819.2522344566048,1.9264051269213776e-13,3.139653740181097e-13,3407.2576429846868,8.492569002123142
36,1029,2019,11.680995106401882,0.0024181680561728746,22,1517,5473578,330.77438801104796,529.4207741109132,2.1834124107738053e-18,4.8064143517945585e-18,3423.3959419510884,8.492569002123142
37,555,1277,11.85685146681001,0.0024607081038831055,14,613,2336494,231.292742988602,488.2358962663348,1.9692598304022296e-05,2.6968736812587844e-05,3422.7075197341087,9.341825902335456
38,574,3435,10.753014633605883,0.001575470674529254,32,3209,11633583,505.14172365798635,811.7028545633277,3.796113322350493e-15,8.288451720081885e-15,3419.9817625097367,8.9171974522293
39,1815,1370,12.059402445460549,0.0031299890411608726,17,901,3295072,356.8860030186852,444.75363973203406,3.328497110189054e-11,6.586166565976957e-11,3437.5873473308634,11.8895966029724
40,348,399,12.065702839706276,0.0032111990923186394,20,1257,4494264,376.3715053340942,443.4650845128165,3.151336957119104e-17,7.514070544524124e-17,3418.9361327112492,10.615711252653927
41,2055,3055,12.014422681810535,0.00295970214488079,20,1257,4503224,331.2069246940029,454.06231981530976,4.655750408589753e-15,8.946043504242481e-15,3418.497541546491,9.341825902335456
42,1005,2288,11.968156016552692,0.0028263577008715737,19,1129,4076653,313.89091087987407,463.84063940772154,3.728380799945009e-12,6.9279474203119174e-12,3420.2877424568965,9.341825902335456
43,2078,1748,12.105494225297697,0.003133015382620017,20,1257,4488216,331.2069246940029,435.4127628278832,5.308487410900512e-17,1.1814745898740833e-16,3419.7547541500317,9.341825902335456
44,2298,2333,10.968301687048488,0.002036214536086448,32,3209,11505507,697.576666003886,735.08855763858,5.277995772010144e-21,1.967303038499924e-20,3416.9996299248464,12.314225053078557
45,2154,990,12.258091869824312,0.003234012273429969,16,797,2889364,275.7186130873387,405.86502311648525,1.7960444189867125e-10,3.6961261650604856e-10,3418.616791732315,9.766454352441613
46,208,3670,11.783742230484602,0.0028847597924979997,20,1257,4553414,451.64580640091305,504.95369430732217,5.6103576082930836e-11,1.2062819462592817e-10,3419.598859670157,12.738853503184714
47,600,191,12.249919329938372,0.00360728934035646,16,797,2890295,371.620739378587,407.39541223659086,3.584226766360141e-10,7.085246035782262e-10,3418.22331002331,13.163481953290871
48,2321,950,12.3115291748801,0.00359418320949103,16,797,2878062,335.65744201936894,395.9990691188847,1.398720883077452e-10,2.8418541637293135e-10,3414.362280121677,11.8895966029724
49,909,3188,12.166874686310079,0.0032540668547670825,21,1373,4870973,330.4179648294072,423.277382338397,2.7280021419565543e-15,5.927720954658314e-15,3417.195380626915,8.9171974522293
50,603,760,12.361679348934043,0.003291922729073282,15,709,2575167,237.4386972990075,386.95826773448,1.7460606811914008e-07,2.610429064017391e-07,3420.917205968872,8.9171974522293
51,501,674,12.43327612040617,0.003408586426158576,14,613,2237336,231.292742988602,374.4077035624371,5.19285655512805e-06,7.4530272497799e-06,3421.1335587489434,9.341825902335456
52,413,905,12.435489041556814,0.0034861667728859377,15,709,2564252,248.74530193229356,374.02634357993213,1.4877781375453414e-07,1.9228038627534598e-07,3419.402389715411,9.341825902335456
53,2280,634,12.990565228721627,0.004727390879906356,11,377,1370468,222.6094147140489,289.6589514703997,4.6328218425148793e-07,1.3976140687801599e-06,3412.6410923954077,11.464968152866241
54,520,3314,12.355856072150033,0.0036755113492681264,21,1373,4843414,330.4179648294072,387.99737338239066,6.868632320676158e-15,1.3812192154132222e-14,3417.9694379084967,8.9171974522293
55,1312,4000,12.32949571042558,0.003230510635310023,15,709,2583800,237.4386972990075,392.73613136316004,8.043411106552171e-05,9.765454504430062e-05,3426.73953613808,8.9171974522293
56,1106,2807,12.478525804225088,0.0036658697870406735,17,901,3212967,267.66450226401383,366.6864307385088,5.6787930679254035e-09,9.489172191727132e-09,3416.768103787184,8.9171974522293
57,1855,204,12.620644186241208,0.004657536646628775,16,797,2838382,371.620739378587,343.4560435524752,1.647386507896042e-09,2.910367375909328e-09,3413.324901063087,13.163481953290871
58,128,3144,12.37125150671036,0.004450306285601784,19,1129,4006926,470.83636631981113,385.2562550250102,2.2915886287421637e-10,3.6950494922731683e-10,3417.6294224659914,14.012738853503185
59,1010,4506,10.829873818510624,0.0021362227784044873,36,4053,14469632,919.1286580747316,783.4751681852398,1.908941299047261e-10,4.638129169153548e-10,3418.652519328179,14.437367303609342
60,1913,1315,12.700909588739997,0.004194189250416761,16,797,2842403,263.73084730093274,330.99244596224054,8.0958978934535e-10,1.4407126451756625e-09,3428.917190358762,9.341825902335456
61,1663,1088,12.84709433353483,0.004928735812890264,15,709,2533124,305.2783250987239,309.443335208032,3.2697927254047885e-09,5.9800488985020895e-09,3437.7557437169667,11.464968152866241
62,232,1440,12.632988979696368,0.004772727905031568,17,901,3195927,382.3778603771627,341.5090398355596,7.097498431525721e-09,1.1478661930727256e-08,3417.6454780361755,12.738853503184714
63,2218,1359,11.050159254765443,0.002215689540663029,35,3853,13703850,738.0174394555888,707.8938658770631,1.8316637975752702e-09,3.878994454092317e-09,3426.61206193969,11.8895966029724
64,1919,2202,12.728068741279204,0.004212162130075728,17,901,3184164,254.9185735847751,326.8784212472753,1.1924180026797322e-11,2.4878830157349982e-11,3415.4433936991,8.492569002123142
65,794,2234,12.003349784222472,0.0029831439656851544,23,1653,5863062,345.2832501105074,456.3836140431697,5.660839296723662e-10,1.0553424363249725e-09,3420.917118471201,8.492569002123142
66,1608,1170,12.747213379601384,0.0052846602020969686,17,901,3211853,395.12378905640145,324.0091867422132,9.085495368223344e-11,1.8226512281077666e-10,3448.247554835349,13.163481953290871
67,1344,1950,12.474584513815895,0.004056196065478358,23,1653,5801236,345.2832501105074,367.3525824510028,2.6004407625421903e-20,8.230452710414763e-20,3427.8814762048273,8.492569002123142
68,844,1187,12.080741609901718,0.0038497565613018862,27,2289,8040459,528.2084357733296,440.40442914569604,2.422392696874298e-16,6.220694464740602e-16,3427.9174044512247,11.040339702760084
69,1998,2904,12.92536884882164,0.004794225891917385,18,1009,3533767,256.2761981410643,298.48755614302036,2.018188064981557e-12,3.8097160074142575e-12,3413.946658897688,8.067940552016985
70,1132,1913,11.797578725371931,0.0030201004036098556,31,3001,10538382,488.49641515218525,501.746388205967,8.661176992336678e-16,2.42937545610786e-15,3427.734942326647,8.9171974522293
71,896,1514,12.885028157125532,0.004485987844258621,14,613,2195023,231.292742988602,304.08455949663954,1.8830182042554063e-05,2.2779951354721967e-05,3429.943851020774,9.341825902335456
72,1662,1744,11.449234903297771,0.002456005060458861,30,2821,10042061,518.726538721798,589.0511651144404,3.4981956483894415e-07,3.989353856802663e-07,3436.75282696821,9.766454352441613
73,640,1257,10.933614819441477,0.0016968268430924574,26,2121,7823192,449.78737259005936,746.921884294236,4.758052547884846,3.2757499314104956,3425.412399227887,9.766454352441613
74,258,3771,12.053044600740247,0.003744443349583284,24,1793,6337734,521.4314610891412,446.0577402027299,3.0193507240474246e-10,6.085455177346982e-10,3423.7403750168623,12.314225053078557
75,1740,1312,11.993901854907882,0.003702555986068085,21,1373,4942769,550.6966080490121,458.3736340313767,0.00025136430216966273,0.00025531801217246473,3446.950190549796,14.8619957537155
76,2340,4188,11.595290376752313,0.0027489637445615956,23,1653,5931615,535.1890376712865,550.7339981637017,0.052064597288755406,0.029966278598305834,3404.9044544867656,13.163481953290871
77,2304,450,13.148566662134417,0.0054732627854084375,11,377,1358109,247.34379412672104,269.33117315733955,0.014956242609591042,0.014895023227190123,3409.999255081409,12.738853503184714
78,1292,4110,10.823768047254443,0.001726069852462435,34,3625,13037449,588.0184189219167,785.6812521428516,0.0010729227739087,0.0014197816259488702,3426.249371043101,9.766454352441613
79,1880,2846,12.993996961224838,0.005004529022264916,17,901,3158070,254.9185735847751,289.20154433212724,1.6286899995857487e-10,2.6592878433949866e-10,3412.244691183033,8.492569002123142
80,2077,2943,12.987350083818551,0.0049556224642656075,16,797,2806990,251.7430815145267,290.08814655983883,2.9569281603141634e-08,4.296607393957171e-08,3416.3599337835353,8.9171974522293
81,1310,1914,13.033537080876549,0.0048427215413841375,14,613,2183207,220.7794364891201,283.9831576000958,1.4508408638333884e-05,1.8671309247997945e-05,3429.951984012201,8.9171974522293
82,2338,1540,12.476287298950222,0.004271232326594753,17,901,3213045,382.3778603771627,367.0646312428599,0.0002632176566907735,0.0003327531175339192,3416.54667756997,12.738853503184714
83,2009,2023,13.148895129777044,0.005684695783442669,17,901,3151189,267.66450226401383,269.2904636361921,1.1675102411531136e-11,2.199141678573048e-11,3416.949662813102,8.9171974522293
84,2099,3862,11.99949765492225,0.00319216789720239,26,2121,7429612,410.6754271474455,457.19394392365245,3.080675961523676e-09,5.18989480455086e-09,3404.3308333991213,8.9171974522293
